source,job_id,detail_url,title,company,location,posted_date,employment_type,salary,classification,sub_classification,seniority_level,job_function,industry,short_description,job_description,scraped_at
jobstreet,93580348,https://id.jobstreet.com/id/job/93580348?type=standard&ref=search-standalone,Product Support Autodesk (AEC),"PT. Metrodata Electronics, Tbk","Jakarta Barat, Jakarta Raya",44 menit yang lalu,Full time,,(Teknologi Informasi & Komunikasi),Meja Bantuan & Dukungan IT,,,,This is a full-time on-site role as a Presales Autodesk (Technical AEC) professional located in West Jakarta. As a Technical AEC professional ...,"PT Metrodata Electronics, TBK (Digital Solution and Distribution Company) would like to invite you to be part of the company to develop yourself and your skills. So let’s apply for the following open positions and have career with us.
Responsibilities
This is a full-time on-site role as a Presales Autodesk (Technical AEC) professional located in West Jakarta. As a Technical AEC professional, your main responsibilities will include analyzing client requirements, providing consulting services, delivering excellent customer service, and participating in the presales process.
Qualifications
Bachelor’s degree (S1) in Civil Engineering, Architecture, Environmental Engineering, Geomatics/Geodetic Engineering, Construction Management, Mechanical Engineering, or related Engineering fields.
Minimum 1 year of experience in the AEC (Architecture, Engineering & Construction) industry or BIM implementation
Experience in technical customer-facing roles is preferred, such as Technical Pre-Sales, Solutions Consulting, or technology/software implementation.
Familiar with Autodesk AEC solutions, including: Autodesk Forma, Revit, Civil 3D, Autodesk Construction Cloud, Navisworks, InfraWorks, Data Management solutions, Other relevant Autodesk technologies.
Strong communication and presentation skills, with the ability to translate technical concepts into clear business value for customers.
Job Descriptions:
1. Communicate with clients to understand their problems regarding design-simulation and to provide the solution.
2. Present the solution recommendations and results during customer-facing meeting.
3. Provide support for design and simulation to customers, both through training or giving end to end solution in how-to-use the design and simulation software.
4. Build, debug, analyze, and interpret ACE models using Autodesk software
5. Resolves tickets representing staff-generated technical requests or problems and troubleshoots technical and process issues to maintain productivity.",2026-07-27T09:21:59
jobstreet,93587535,https://id.jobstreet.com/id/job/93587535?type=standard&ref=search-standalone,CBS - Office Supervisor,EY,Jakarta Raya,13 jam yang lalu,Full time,,(Administrasi & Dukungan Perkantoran),Manajemen Perkantoran,,,,Join our Core Business Services (CBS) team and you will help support the important business enablement functions that keep our organization running...,"Join our Core Business Services (CBS) team and you will help support the important business enablement functions that keep our organization running strong. As a CBS professional, you will work across teams to provide the knowledge, resources and tools that help EY deliver exceptional quality service to our clients, win in the marketplace and support EY’s growth and profitability. Major teams within CBS include Finance, Information Technology, Talent, Legal, Brand Marketing and Communications, Business Development, and Risk Management.
Requirements:
Educational qualifications: Bachelor's degree in Social Sciences or Engineering.
Office experience preferred.
Proficiency in Microsoft Office.
Able to communicate in English.
Residing in Greater Jakarta (Jabodetabek).
Job Descriptions:
Preparing all employee and guest needs related to the necessary office facilities and equipment.
Serving employees and guests with needs related to meetings, training, and other activities in accordance with office operational procedures and required services.
Maintaining the safety, cleanliness, and health of the office facilities and work environment.",2026-07-28T01:05:00
jobstreet,93626067,https://id.jobstreet.com/id/job/93626067?type=standard&ref=search-standalone,IT Supervisor - Lv8 Resort Hotel,PT Bali Utama Cakrawala,"Kuta Utara, Bali",16 menit yang lalu,Kontrak/Temporer,,(Hospitaliti & Pariwisata),Manajemen,,,,Join Lv8 Resort Hotel and lead our IT operations that enhance both guest experiences and business performance.,"Requirements
Minimum Diploma or Bachelor's Degree in Information Technology, Computer Science, Information Systems, or a related field.
Minimum 5 years of experience in IT, including at least 2 years in a supervisory role, preferably in the hospitality industry.
Strong knowledge of IT infrastructure, including servers, networking, operating systems, hardware, software, Wi-Fi, CCTV management.
Experience with hotel management systems (PMS), POS systems, and hospitality applications is highly preferred.
Good understanding of IT security, data protection, backup, and disaster recovery procedures.
Strong troubleshooting and problem-solving skills with the ability to work under pressure.
Excellent leadership, communication, and team management skills.
Proficient in Microsoft Office and technical documentation.
Fluent in written and spoken English.
Able to manage multiple priorities, vendors, and IT projects effectively.
Willing to work flexible hours and provide on-call support when required.
Willing to be based in Canggu, Kuta Selatan, Bali.
Responsibilities
Supervise daily IT operations to ensure all hotel systems, networks, and technology infrastructure operate efficiently with minimal downtime.
Maintain, monitor, and troubleshoot IT infrastructure, including servers, workstations, networking equipment, Wi-Fi, printers, CCTV, and other technology assets.
Plan, implement, and oversee IT projects while ensuring timely completion and adherence to budget.
Develop, implement, and maintain IT security policies to safeguard company systems and data.
Provide technical support and resolve hardware, software, and network issues for all hotel departments.
Monitor system performance, conduct preventive maintenance, and recommend technology improvements to enhance operational efficiency.
Coordinate with external vendors for IT services, maintenance, system upgrades, and procurement.
Prepare daily, monthly, and project-related IT reports and maintain accurate technical documentation.
Lead, coach, and evaluate the IT team to ensure high performance and continuous professional development.
Ensure compliance with company standards, IT policies, and hospitality technology best practices.
Support hotel operations by ensuring the availability and reliability of all critical business systems and guest-facing technologies.",2026-07-29T05:05:46
linkedin,4443489268,https://id.linkedin.com/jobs/view/ai-solutions-engineer-at-halo-ai-yc-s22-4443489268,AI Solutions Engineer,Halo AI (YC S22),"Jakarta, Indonesia",2026-07-23,Full-time,,,,Entry level,Engineering and Information Technology,Software Development,,"We're looking for an AI Solutions Engineer who sits at the intersection of customer needs and our AI platform.
You'll own the end-to-end lifecycle of client-facing AI agents - from understanding a business's needs, to designing and refining the agent, to launching it and keeping it performing well in production.
You're equal parts solution architect, builder, and production troubleshooter.
If you like turning a messy real-world business problem into a working AI system that actually serves customers, this is for you.
What You'll Do
Design and build AI agents
for clients across diverse industries, shaping each agent's behavior, knowledge, and capabilities to fit the business.
Learn each client's business
understand how they operate and what they actually need, so the solution fits them rather than a generic template.
Translate business requirements into working solution
capture what a client needs, map it to what the platform can do, and make the concrete decisions that bring an agent to life.
Shape agent behavior at depth
refine an agent's instructions to hit the right tone, accuracy, and guardrails, tailored to each client rather than relying on one-size-fits-all defaults.
Write code to build custom solutions
when a client's use case goes beyond configuration, build it: custom integrations with their systems, bespoke workflows, and tooling tailored to that client.
Set up the supporting pieces
an agent needs to do its job, including integrations with client systems and third-party services.
Evaluate and validate agents - before and after launch
measure quality, catch regressions, and make sure changes improve real outcomes.
Investigate and resolve production issues
root-cause why an agent behaved unexpectedly using the right evidence, and decide where the fix belongs.
Build solutions tailored to each customer while working within a shared platform
knowing when a fix should be scoped to one client versus generalized.
Partner with clients and internal teams
to onboard, hand over, and continuously improve deployed agents based on real-world usage.
What We're Looking For
Solid engineering ability — you can write and ship code (TypeScript/Node, SQL, APIs) to build custom integrations and solutions, and read your way through an unfamiliar system.
Hands-on experience with LLMs or conversational AI, and a feel for how to shape an AI system's behavior, edge cases, and guardrails.
Curiosity about the business side — you enjoy learning how a company operates, and you can sit with a non-technical business owner, understand their actual problem, and translate it into a working solution.
A debugging mindset: comfortable digging into evidence to find root causes rather than guessing.
Bias for shipping: you can take something from a vague request to a live, validated agent.
Nice to Have
Experience deploying AI/chat agents in production (customer support, sales, scheduling, etc.).
Familiarity with SaaS platforms and the trade-offs between per-client customization and shared infrastructure.
Background in solutions engineering, software engineering, technical consulting, or implementation engineering.
Comfort with observability tooling and data investigation.
Familiar with AI coding tools (e.g. Claude Code) and using AI in your day-to-day workflow.
Bilingual (English + Bahasa Indonesia) for client-facing work.",2026-07-25T20:52:50
jobstreet,93623493,https://id.jobstreet.com/id/job/93623493?type=standard&ref=search-standalone,AI Automation Engineer,PT Kode Evolusi Bangsa,"Gresik, Jawa Timur",1 jam yang lalu,Kontrak/Temporer,Rp 5.500.000 – Rp 8.000.000 per month,(Teknologi Informasi & Komunikasi),Developer/Programmer,,,,"Analyze business processes, design AI & automation workflows, lead technical specialists, and optimize systems for operational efficiency","JOB DESCRIPTIONS :
Analyze business processes and identify opportunities for AI and automation implementation.
Design, develop, and implement AI-based solutions to improve operational efficiency.
Develop and optimize automation workflows across business functions.
Collaborate with cross-functional teams to gather business requirements and translate them into AI solutions.
Monitor, maintain, and continuously improve AI and automation systems.
Evaluate the effectiveness of AI initiatives and recommend continuous improvements.
Lead and supervise AI Specialist and Automation Specialist staff.
Prepare technical documentation, reports, and implementation roadmaps.
Ensure AI solutions align with company objectives, security standards, and best practices.
Report project progress and strategic recommendations to the IT Manager.
JOB REQUIREMENTS :
Minimum Bachelor's Degree (S1) in Computer Science, Information Technology, Artificial Intelligence, or a related field.
Proven experience in AI implementation and business process automation.
Good understanding of AI technologies, Machine Learning, LLMs, RPA, or automation platforms.
Experience integrating AI solutions into business processes is highly preferred.
Fluent in English, both written and spoken.
Strong communication, analytical thinking, and problem-solving skills.
Demonstrates leadership, independence, attention to detail, and a proactive mindset.
Able to lead a team and collaborate with cross-functional departments.
Willing to work fulltime onsite in Gresik.",2026-07-29T05:05:46
jobstreet,93340546,https://id.jobstreet.com/id/job/93340546?type=standard&ref=search-standalone,IoT Engineer,PT. Lantabura Media,"Yogyakarta, DI Yogyakarta",2 hari yang lalu,Full time,Rp 3.000.000 – Rp 4.500.000 per month,(Teknik),Teknik Elektro/Elektronik,,,,"Mengembangkan sistem IoT pada mesin pengemas untuk monitoring kinerja, pengumpulan data operasional, dan peningkatan efisiensi produksi.","Deskripsi Pekerjaan:
Berpartisipasi dalam perancangan teknis perangkat lunak dan pengembangan yang memenuhi spesifikasi solusi IoT.
Merancang, mengembangkan, dan menguji firmware serta aplikasi untuk sistem IoT.
Mampu mengimplementasikan protokol komunikasi ke platform IoT.
Memiliki pengetahuan tentang framework aplikasi web dan mobile untuk analitik, pemantauan, serta manajemen perangkat.
Membantu engineer dalam perancangan arsitektur solusi, pemecahan masalah, dan penanganan troubleshooting.
Kualifikasi:
Minimal lulusan S1 dari jurusan Teknik Elektro / Teknik Mesin / Elektro / Data Science / Matematika / Ilmu Komputer.
Memiliki pengalaman kerja minimal 2 tahun di bidang yang sama, Freshgraduate dipersilahkan melamar
Memahami konsep Internet of Things (IoT).
Mampu merancang komponen elektronik (desain PCB, dasar-dasar elektronika, dan sejenisnya).
Memahami berbagai jenis sensor.
Memahami mikrokontroler (ATmel, Arduino board, ESP32, ESP8266, Raspberry Pi, dan lain-lain) menjadi nilai tambah.
Memahami bahasa pemrograman untuk perangkat embedded (Arduino IDE, C, C++, Python, dan lain-lain) menjadi nilai tambah.
Berpengalaman menggunakan API serta integrasi berbagai solusi perangkat lunak melalui platform IoT.
Memiliki kemampuan analisis dan pemecahan masalah yang kuat.
Mampu bekerja secara kolaboratif dalam lingkungan tim dengan berbagai level jabatan di dalam organisasi.",2026-07-17T22:47:01
linkedin,4443872679,https://id.linkedin.com/jobs/view/investment-intern-data-analyst-at-syailendra-capital-4443872679,Investment Intern (Data Analyst),Syailendra Capital,"Jakarta, Indonesia",2026-07-24,Internship,,,,Internship,Information Technology,Financial Services,,"Syailendra Capital, an investment management firm based in Jakarta, is looking for a
Data Analyst Intern
to join the Investment team.
This role bridges financial analysis and technical execution, working directly with the investment research team.
Responsibilities:
Build automated tools to support market research and analysis.
Develop tools and systems that improve investment and non-investment workflows.
Collect and clean data from sources including Bloomberg, IDX, and OJK.
Support the Head of Research on Equity and Fixed Income strategies.
Turn complex data into visualizations for internal and client reporting.
Requirements:
Currently completing or holding a degree in Computer Science, Data Science, Finance, Mathematics, or Economics.
Proficiency in Excel/VBA; working knowledge of Python or JavaScript, and SQL.
Strong data visualization and communication skills.
Ability to work independently in a fast-paced environment.
This is an in-office position based in Jakarta.
What we offer:
Direct mentorship from senior investment professionals, with the opportunity to be considered for a permanent role following a 3-month evaluation period.",2026-07-25T20:52:50
jobstreet,93507343,https://id.jobstreet.com/id/job/93507343?type=standard&ref=search-standalone,Head of Game Developer & Junior Game Developer,PT Indonesia Satu Tujuh,"Jakarta Selatan, Jakarta Raya",2 hari yang lalu,Full time,Rp 9.000.000 – Rp 13.000.000 per month,(Teknologi Informasi & Komunikasi),Developer/Programmer,,,,"As a Game Developer, you will be responsible for designing, developing, and optimizing gameplay features and systems properly and more innovative.","Kualifikasi Head of Game Developer:
Gelar Sarjana di bidang Ilmu Komputer, Pengembangan Game, atau bidang terkait. Diutamakan dari Universitas ternama dengan IPK >3,00/4,00.
Memiliki pengetahuan dan pengalaman menggunakan Adobe Photoshop, Substance Painter, atau ZBrush.
Menguasai Blender atau Autodesk 3ds Max untuk pembuatan aset 3D.
Memiliki kemampuan expert dalam pengembangan game menggunakan Unity (C#)/HTML5.
Memiliki pengetahuan mengenai Android Native Development menggunakan Java, Kotlin, dan C++, termasuk pengembangan serta integrasi Android Library (.AAR) dalam pengembangan mobile game atau VR game.
Menguasai JavaScript dengan baik.
Memiliki pengalaman dalam integrasi dan konsumsi RESTful API, termasuk pengolahan data berformat JSON, autentikasi (seperti JWT atau OAuth), serta komunikasi dengan layanan backend.
Memiliki pengalaman menggunakan Unreal Engine menjadi nilai tambah.
Memahami prinsip Object-Oriented Programming (OOP), SOLID Principles, dan Design Patterns.
Berpengalaman dalam melakukan optimasi performa pada game untuk platform desktop, mobile, maupun VR.
Memahami penggunaan Git atau sistem version control lainnya.
Mampu melakukan debugging, code review, dan technical troubleshooting secara mandiri.
Mampu bekerja secara mandiri maupun berkolaborasi dalam tim, serta memiliki kemampuan memimpin tim pengembang dalam proses pengembangan game.
Kualifikasi Junior Game Developer:
Memiliki pengetahuan dasar dalam pengembangan game menggunakan Unity (C#).
Memahami dasar-dasar Object-Oriented Programming (OOP).
Memiliki pengetahuan dasar mengenai Android Native Development menggunakan Java atau Kotlin menjadi nilai tambah.
Memiliki pengetahuan dasar mengenai JavaScript menjadi nilai tambah.
Memiliki pengetahuan dasar mengenai RESTful API dan pengolahan data JSON.
Memiliki pengetahuan dasar mengenai Git atau sistem version control lainnya.
Memiliki pengetahuan dasar menggunakan Blender atau Autodesk 3ds Max menjadi nilai tambah.
Memiliki pengetahuan dasar menggunakan Adobe Photoshop, Substance Painter, atau ZBrush menjadi nilai tambah.
Memiliki pengetahuan dasar mengenai Unreal Engine menjadi nilai tambah.
Mampu memahami, menulis, dan melakukan debugging kode sederhana.
Memiliki kemampuan belajar yang cepat, mampu bekerja sama dalam tim, serta mampu mengikuti arahan dengan baik.
Memiliki minat yang tinggi dalam pengembangan game desktop, mobile, atau VR.
Tanggung Jawab:
Merencanakan, mendesain, dan mengimplementasikan fitur game berkualitas tinggi, bekerja sama dengan tim studio
Membangun alur kerja yang efektif untuk strategi dan pengembangan
Membuat dan melakukan iterasi cepat pada prototipe yang menampilkan desain dan pola interaksi baru
Mendesain, membangun, dan memelihara kode yang efisien, andal, dan dapat digunakan kembali
Memastikan kinerja, kualitas, dan responsivitas aplikasi dan game yang optimal
Mengidentifikasi hambatan proses dan aplikasi, dan mengimplementasikan solusi tepat waktu.",2026-07-25T09:34:19
jobstreet,93608026,https://id.jobstreet.com/id/job/93608026?type=standard&ref=search-standalone,Presales Engineer,,"Medan, Sumatera Utara",33 menit yang lalu,Kontrak/Temporer,Rp 7.000.000 – Rp 8.000.000 per month,(Teknologi Informasi & Komunikasi),Penjualan – Pra & Pasca,,,,"Berperan penting dalam merancang solusi teknologi inovatif (ICT, IoT, cloud, dan konektivitas) yang berdampak langsung bagi bisnis pelanggan.","Bachelor’s degree in Telecommunications Engineering, Electrical Engineering, Computer/Information Engineering, Information Systems, or a related field.
Minimum
3 years of experience in presales
, solution architect, ICT operations, planning, or projects within
Telco, ISP, System Integrators, or ICT providers.
Identify customer technical needs and translate them into solution designs (ICT, network, IoT, etc.).
Develop solution architecture, cost estimation (bill of materials), and business analysis to support sales proposals.
Support sales in client presentations and assist with Proof of Concept (PoC) when needed.
Coordinate across departments (Sales, Delivery, vendors, partners) to ensure smooth implementation.
Ability to design and configure Internet & connectivity services, network infrastructure, servers, storage, firewalls, and integrated ICT & Telco solutions (e.g., M2M/IoT).
Experience with enterprise-level project management and cloud/IoT is a strong plus.
Solid understanding of enterprise service segments and basic business calculations such as ROI and TCO.
Strong communication, presentation, negotiation, and report-writing skills in
both Bahasa Indonesia and English
.
Strong analytical and problem-solving mindset.
Able to work independently, adapt under pressure, and meet short- and long-term deadlines.",2026-07-28T09:05:28
jobstreet,93584822,https://id.jobstreet.com/id/job/93584822?type=standard&ref=search-standalone,IT Business Process Analyst,PT 360 TEKNOLOGI INDONESIA,"Jakarta Utara, Jakarta Raya",5 jam yang lalu,Kontrak/Temporer,Rp 8.000.000 – Rp 12.000.000 per month,(Teknologi Informasi & Komunikasi),Analis Bisnis/Sistem,,,,Optimalkan proses bisnis dengan solusi IT strategis. Peluang karir di perusahaan teknologi terkemuka dengan mentoring senior leaders.,"Kesempatan
PT 360 Teknologi Indonesia mencari IT Business Process Analyst yang berpengalaman dan analitis untuk bergabung dengan tim kami di Jakarta Utara. Sebagai IT Business Process Analyst, Anda akan memainkan peran strategis dalam menganalisis, merancang, dan mengoptimalkan proses bisnis dengan memanfaatkan solusi teknologi informasi. Posisi ini memerlukan pemahaman mendalam tentang operasional bisnis, kemampuan analisis yang kuat, dan keahlian dalam memetakan proses untuk meningkatkan efisiensi organisasi. Jabatan ini ditawarkan dengan basis kontrak dan berlokasi di Jakarta Utara, Jakarta Raya.
Tanggung Jawab Utama
Menganalisis proses bisnis yang ada untuk mengidentifikasi peluang peningkatan efisiensi dan optimalisasi sistem.
Bekerja sama dengan stakeholder dari berbagai departemen untuk memahami kebutuhan bisnis dan tantangan operasional.
Mendokumentasikan proses bisnis melalui diagram alur, use case, dan dokumentasi teknis yang komprehensif.
Mengembangkan rekomendasi solusi teknologi yang selaras dengan tujuan strategis perusahaan.
Melakukan gap analysis antara sistem saat ini dengan sistem target yang diinginkan.
Memfasilitasi workshop dan focus group discussion dengan pengguna akhir untuk mengumpulkan requirement bisnis.
Mengelola dan memantau implementasi solusi teknologi untuk memastikan kesuksesan adopsi di organisasi.
Memberikan training dan dokumentasi kepada pengguna akhir mengenai sistem dan proses baru.
Melakukan quality assurance dan testing untuk memvalidasi solusi sebelum go-live.
Keterampilan, Kualifikasi, dan Pengalaman yang Dibutuhkan
Gelar Sarjana (S1) dalam Teknologi Informasi, Sistem Informasi, Teknik Industri, Manajemen Bisnis, atau bidang terkait.
Minimal 3 tahun pengalaman sebagai Business Process Analyst atau posisi sejenis di industri Teknologi Informasi atau Komunikasi.
Pemahaman yang kuat tentang metodologi business process management dan continuous improvement.
Keahlian dalam membuat dokumentasi proses termasuk flowchart, data flow diagram, dan process modeling.
Pengetahuan praktis tentang enterprise resource planning (ERP) dan sistem informasi manajemen.
Kemampuan komunikasi yang excellent dalam bahasa Indonesia dan Inggris.
Keterampilan problem-solving yang analitis dan kemampuan berpikir strategis.
Pengalaman dengan tools business process management seperti Bizagi, BPMN, atau tools serupa.
Memiliki sertifikasi CBAP (Certified Business Analysis Professional) atau PMC (Project Management Certificate) adalah nilai tambah.
Kemampuan untuk bekerja dalam tim, kolaboratif, dan responsif terhadap perubahan.
Tentang Kami
PT 360 Teknologi Indonesia adalah perusahaan terkemuka di industri Teknologi Informasi dan Komunikasi yang berkomitmen untuk memberikan solusi teknologi inovatif kepada klien di berbagai sektor. Dengan tim profesional yang berpengalaman dan berdedikasi, kami fokus pada transformasi digital, konsultasi bisnis, dan implementasi sistem informasi yang mengoptimalkan operasional klien kami. Visi kami adalah menjadi mitra teknologi terpercaya yang mendorong kesuksesan bisnis melalui inovasi berkelanjutan dan layanan berkualitas tinggi. Budaya perusahaan kami menekankan kolaborasi, integritas, pembelajaran berkelanjutan, dan komitmen terhadap excellence dalam setiap aspek pekerjaan kami.
Lamar Sekarang
Jika Anda memenuhi kualifikasi di atas dan tertarik untuk bergabung dengan PT 360 Teknologi Indonesia, kami mengundang Anda untuk melamar posisi ini. Silakan kirimkan CV, surat lamaran, dan portofolio pekerjaan Anda kepada tim Human Resources kami. Kami menantikan untuk mendengar dari Anda dan berdiskusi tentang bagaimana Anda dapat berkontribusi pada kesuksesan tim kami.",2026-07-27T17:05:25
